Dosage (µSv/h),Distance (cm),Sensor,Time,Details,Coordinates
0.69,345.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:56 PM,Low dosage detected in this area,"[51.42323, -2.67088]"
0.38,373.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:58 PM,Low dosage detected in this area,"[51.42324, -2.67084]"
0.4,433.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:00 PM,Low dosage detected in this area,"[51.42325, -2.67082]"
0.24,430.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:02 PM,Low dosage detected in this area,"[51.42327, -2.67078]"
0.3,400.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:04 PM,Low dosage detected in this area,"[51.42328, -2.67075]"
0.42,380.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:06 PM,Low dosage detected in this area,"[51.42329, -2.67072]"
0.37,369.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:08 PM,Low dosage detected in this area,"[51.42331, -2.67069]"
0.41,312.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:10 PM,Low dosage detected in this area,"[51.42332, -2.67066]"
0.6,301.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:12 PM,Low dosage detected in this area,"[51.42333, -2.67063]"
0.46,299.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:14 PM,Low dosage detected in this area,"[51.42335, -2.6706]"
0.44,298.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:16 PM,Low dosage detected in this area,"[51.42336, -2.67056]"
0.54,291.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:18 PM,Low dosage detected in this area,"[51.42336, -2.67056]"
0.35,290.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:20 PM,Low dosage detected in this area,"[51.42314, -2.67107]"
0.47,292.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:22 PM,Low dosage detected in this area,"[51.42313, -2.6711]"
0.44,292.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:24 PM,Low dosage detected in this area,"[51.42312, -2.67113]"
0.55,291.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:26 PM,Low dosage detected in this area,"[51.42311, -2.67117]"
0.46,292.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:28 PM,Low dosage detected in this area,"[51.4231, -2.67119]"
0.37,295.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:30 PM,Low dosage detected in this area,"[51.42309, -2.67122]"
0.61,302.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:32 PM,Low dosage detected in this area,"[51.42308, -2.67126]"
0.38,307.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:34 PM,Low dosage detected in this area,"[51.42307, -2.67129]"
0.38,312.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:36 PM,Low dosage detected in this area,"[51.42306, -2.67132]"
0.39,352.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:38 PM,Low dosage detected in this area,"[51.42305, -2.67136]"
0.31,306.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:40 PM,Low dosage detected in this area,"[51.42304, -2.67139]"
0.42,306.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:43 PM,Low dosage detected in this area,"[51.42303, -2.67142]"
0.55,281.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:47 PM,Low dosage detected in this area,"[51.42301, -2.67149]"
0.53,267.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:49 PM,Low dosage detected in this area,"[51.423, -2.67152]"
0.39,248.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:51 PM,Low dosage detected in this area,"[51.42299, -2.67156]"
0.28,239.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:53 PM,Low dosage detected in this area,"[51.42298, -2.67159]"
0.14,227.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:55 PM,Low dosage detected in this area,"[51.42297, -2.67162]"
0.54,218.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:57 PM,Low dosage detected in this area,"[51.42301, -2.67125]"
0.37,205.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:22:59 PM,Low dosage detected in this area,"[51.42302, -2.67122]"
0.44,213.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:01 PM,Low dosage detected in this area,"[51.42302, -2.67119]"
0.35,327.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:03 PM,Low dosage detected in this area,"[51.42303, -2.67116]"
0.24,314.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:05 PM,Low dosage detected in this area,"[51.42304, -2.67113]"
0.46,331.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:07 PM,Low dosage detected in this area,"[51.42305, -2.67109]"
0.37,326.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:09 PM,Low dosage detected in this area,"[51.42305, -2.67106]"
0.36,318.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:11 PM,Low dosage detected in this area,"[51.42306, -2.67103]"
0.36,325.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:13 PM,Low dosage detected in this area,"[51.42307, -2.67099]"
0.33,315.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:15 PM,Low dosage detected in this area,"[51.42308, -2.67096]"
0.34,325.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:19 PM,Low dosage detected in this area,"[51.4231, -2.67089]"
0.39,333.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:21 PM,Low dosage detected in this area,"[51.4231, -2.67086]"
0.42,358.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:23 PM,Low dosage detected in this area,"[51.42311, -2.67082]"
0.35,374.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:25 PM,Low dosage detected in this area,"[51.42312, -2.67079]"
0.45,371.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:27 PM,Low dosage detected in this area,"[51.42313, -2.67075]"
0.5,371.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:29 PM,Low dosage detected in this area,"[51.42314, -2.67072]"
0.28,372.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:31 PM,Low dosage detected in this area,"[51.42315, -2.67068]"
0.52,372.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:33 PM,Low dosage detected in this area,"[51.42305, -2.67059]"
0.51,365.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:35 PM,Low dosage detected in this area,"[51.42305, -2.67062]"
0.23,367.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:37 PM,Low dosage detected in this area,"[51.42303, -2.67065]"
0.26,373.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:39 PM,Low dosage detected in this area,"[51.42302, -2.67069]"
0.31,375.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:41 PM,Low dosage detected in this area,"[51.42301, -2.67072]"
0.36,373.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:47 PM,Low dosage detected in this area,"[51.42297, -2.67082]"
0.3,378.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:49 PM,Low dosage detected in this area,"[51.42296, -2.67085]"
0.37,382.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:51 PM,Low dosage detected in this area,"[51.42295, -2.67089]"
0.57,383.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:53 PM,Low dosage detected in this area,"[51.42294, -2.67092]"
0.47,438.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:55 PM,Low dosage detected in this area,"[51.42293, -2.67095]"
0.54,387.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:57 PM,Low dosage detected in this area,"[51.42292, -2.67098]"
0.42,374.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:23:59 PM,Low dosage detected in this area,"[51.4229, -2.67101]"
0.41,363.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:01 PM,Low dosage detected in this area,"[51.42289, -2.67104]"
0.71,359.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:03 PM,Low dosage detected in this area,"[51.42288, -2.67108]"
0.47,354.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:05 PM,Low dosage detected in this area,"[51.42287, -2.67112]"
0.32,347.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:08 PM,Low dosage detected in this area,"[51.42286, -2.67115]"
0.35,336.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:10 PM,Low dosage detected in this area,"[51.42308, -2.67103]"
0.59,335.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:12 PM,Low dosage detected in this area,"[51.42311, -2.671]"
0.41,328.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:14 PM,Low dosage detected in this area,"[51.42313, -2.67098]"
0.29,326.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:16 PM,Low dosage detected in this area,"[51.42316, -2.67095]"
0.35,321.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:18 PM,Low dosage detected in this area,"[51.42318, -2.67093]"
0.4,313.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:20 PM,Low dosage detected in this area,"[51.4232, -2.6709]"
0.55,309.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:22 PM,Low dosage detected in this area,"[51.42322, -2.67088]"
0.52,297.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:24 PM,Low dosage detected in this area,"[51.42323, -2.67085]"
0.36,319.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:26 PM,Low dosage detected in this area,"[51.42325, -2.67082]"
0.46,395.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:28 PM,Low dosage detected in this area,"[51.42326, -2.67079]"
0.41,398.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:30 PM,Low dosage detected in this area,"[51.42327, -2.67076]"
0.45,388.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:32 PM,Low dosage detected in this area,"[51.42328, -2.67073]"
0.47,396.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:34 PM,Low dosage detected in this area,"[51.42329, -2.6707]"
0.55,406.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:36 PM,Low dosage detected in this area,"[51.4233, -2.67067]"
0.49,417.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:38 PM,Low dosage detected in this area,"[51.42332, -2.67063]"
0.64,422.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:40 PM,Low dosage detected in this area,"[51.42333, -2.67059]"
0.57,424.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:42 PM,Low dosage detected in this area,"[51.42334, -2.67055]"
0.67,424.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:44 PM,Low dosage detected in this area,"[51.42334, -2.67051]"
0.42,418.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:46 PM,Low dosage detected in this area,"[51.42336, -2.67046]"
0.35,436.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:48 PM,Low dosage detected in this area,"[51.42344, -2.67139]"
0.42,447.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:50 PM,Low dosage detected in this area,"[51.42345, -2.67143]"
0.54,422.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:52 PM,Low dosage detected in this area,"[51.42345, -2.67147]"
0.39,424.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:54 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.37,429.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:56 PM,Low dosage detected in this area,"[51.42343, -2.67149]"
0.38,431.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:24:58 PM,Low dosage detected in this area,"[51.42343, -2.67149]"
0.36,433.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:00 PM,Low dosage detected in this area,"[51.42343, -2.67149]"
0.46,432.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:02 PM,Low dosage detected in this area,"[51.42343, -2.67149]"
0.33,431.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:04 PM,Low dosage detected in this area,"[51.42343, -2.67149]"
0.4,434.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:06 PM,Low dosage detected in this area,"[51.42343, -2.67149]"
0.56,434.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:08 PM,Low dosage detected in this area,"[51.42343, -2.67149]"
0.47,437.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:10 PM,Low dosage detected in this area,"[51.42343, -2.67149]"
0.28,436.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:12 PM,Low dosage detected in this area,"[51.42343, -2.67149]"
0.37,437.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:14 PM,Low dosage detected in this area,"[51.42343, -2.67149]"
0.43,439.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:16 PM,Low dosage detected in this area,"[51.42343, -2.67149]"
0.54,438.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:18 PM,Low dosage detected in this area,"[51.42343, -2.67149]"
0.38,440.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:20 PM,Low dosage detected in this area,"[51.42343, -2.67149]"
0.41,440.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:22 PM,Low dosage detected in this area,"[51.42343, -2.67149]"
0.53,439.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:24 PM,Low dosage detected in this area,"[51.42343, -2.67149]"
0.43,514.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:26 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.43,512.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:28 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.34,507.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:31 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.58,517.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:33 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.32,506.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:35 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.38,510.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:37 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.54,511.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:39 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.62,509.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:41 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.58,513.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:43 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.31,514.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:45 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.39,510.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:47 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.44,508.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:49 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.3,510.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:51 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.51,514.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:53 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.49,506.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:55 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.5,505.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:57 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.31,512.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:25:59 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.26,509.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:01 PM,Low dosage detected in this area,"[51.42344, -2.67149]"
0.75,506.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:03 PM,Low dosage detected in this area,"[51.42344, -2.67148]"
0.48,507.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:05 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.41,509.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:07 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.52,508.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:09 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.44,511.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:11 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.51,627.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:13 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.27,892.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:15 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.42,1079.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:17 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.52,1077.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:19 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.28,1099.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:21 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.46,1357.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:23 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.42,1592.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:25 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.41,1844.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:27 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.48,1835.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:29 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.41,1885.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:31 PM,Low dosage detected in this area,"[51.42344, -2.67148]"
0.54,2085.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:33 PM,Low dosage detected in this area,"[51.42344, -2.67148]"
0.41,2176.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:35 PM,Low dosage detected in this area,"[51.42344, -2.67148]"
0.4,2212.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:37 PM,Low dosage detected in this area,"[51.42344, -2.67148]"
0.51,2220.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:39 PM,Low dosage detected in this area,"[51.42344, -2.67148]"
0.55,2177.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:41 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.41,2148.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:43 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.43,2141.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:45 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.38,2146.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:47 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.56,2096.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:49 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.51,2108.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:51 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.42,2177.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:53 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.58,2096.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:56 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.37,2089.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:26:58 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.46,2082.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:00 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.56,2085.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:02 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.39,2049.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:04 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.69,2033.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:06 PM,Low dosage detected in this area,"[51.42345, -2.67148]"
0.47,2030.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:12 PM,Low dosage detected in this area,"[51.42343, -2.67146]"
0.62,2000.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:18 PM,Low dosage detected in this area,"[51.42328, -2.67091]"
0.23,1972.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:20 PM,Low dosage detected in this area,"[51.42329, -2.67088]"
0.56,1991.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:22 PM,Low dosage detected in this area,"[51.42329, -2.67085]"
0.15,1985.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:24 PM,Low dosage detected in this area,"[51.4233, -2.67082]"
0.51,1978.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:26 PM,Low dosage detected in this area,"[51.4233, -2.67079]"
0.38,1948.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:28 PM,Low dosage detected in this area,"[51.42331, -2.67076]"
0.5,2001.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:30 PM,Low dosage detected in this area,"[51.42331, -2.67073]"
0.58,1942.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:32 PM,Low dosage detected in this area,"[51.42332, -2.6707]"
0.47,1940.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:34 PM,Low dosage detected in this area,"[51.42333, -2.67067]"
0.62,1952.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:36 PM,Low dosage detected in this area,"[51.42334, -2.67063]"
0.39,1963.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:38 PM,Low dosage detected in this area,"[51.42335, -2.6706]"
0.38,1951.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:40 PM,Low dosage detected in this area,"[51.42336, -2.67057]"
0.25,1944.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:42 PM,Low dosage detected in this area,"[51.42339, -2.67058]"
0.53,1949.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:44 PM,Low dosage detected in this area,"[51.42339, -2.67061]"
0.59,1939.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:46 PM,Low dosage detected in this area,"[51.42339, -2.67064]"
0.41,1951.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:48 PM,Low dosage detected in this area,"[51.42338, -2.67067]"
0.38,1940.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:50 PM,Low dosage detected in this area,"[51.42336, -2.67069]"
0.54,1959.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:52 PM,Low dosage detected in this area,"[51.42335, -2.67071]"
0.28,1948.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:54 PM,Low dosage detected in this area,"[51.42334, -2.67074]"
0.49,1951.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:56 PM,Low dosage detected in this area,"[51.42315, -2.67132]"
0.22,1932.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:27:58 PM,Low dosage detected in this area,"[51.42314, -2.67135]"
0.42,1943.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:28:00 PM,Low dosage detected in this area,"[51.42314, -2.67138]"
0.36,1947.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:28:02 PM,Low dosage detected in this area,"[51.42312, -2.67141]"
0.62,2016.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:28:04 PM,Low dosage detected in this area,"[51.42312, -2.67144]"
0.57,2000.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:28:06 PM,Low dosage detected in this area,"[51.42311, -2.67147]"
0.43,1965.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:28:10 PM,Low dosage detected in this area,"[51.42309, -2.67153]"
0.42,1958.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:28:12 PM,Low dosage detected in this area,"[51.42308, -2.67156]"
0.29,1954.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:28:14 PM,Low dosage detected in this area,"[51.42307, -2.67159]"
0.55,1933.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:28:16 PM,Low dosage detected in this area,"[51.42308, -2.67161]"
0.49,1933.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:28:19 PM,Low dosage detected in this area,"[51.4231, -2.67161]"
0.46,1923.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:28:21 PM,Low dosage detected in this area,"[51.42311, -2.67159]"
0.5,1909.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:28:23 PM,Low dosage detected in this area,"[51.42312, -2.67157]"
