Dosage (µSv/h),Distance (cm),Sensor,Time,Details,Coordinates
0.36,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:24 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.56,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:26 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.39,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:28 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.47,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:30 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.36,18.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:32 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.39,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:35 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.27,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:37 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.41,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:39 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.52,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:41 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.32,18.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:43 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.64,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:45 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.37,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:47 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.34,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:49 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.54,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:51 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
